#Partida,,,,Has.ko aurrek.,B. betiko aurrek.,Atxikipenak,Baimendua,Erabilgarria,Xedatua,Obligazioa,ME,Ordainketa
1 0300.601.08.153.20 2016,,859,HIRI INGURUEN HOBEKUNTZA-IRISGARRITASUNA,,119368.33,,119368.33,,119042.61,110729.95,110729.95,110729.95
1 0300.601.13.153.20 2017,,1017,HOBEKUNTZAK TXONTAN,,,,,,,,,
1 0300.601.14.153.20 2017,,54,LAN TXIKIAK,250000.0,250000.0,,106065.57,143934.43,106065.57,46557.71,46557.71,46557.71
1 0300.601.14.153.20 2016,,860,LAN TXIKIAK,,80725.02,,80725.02,,80725.02,79676.92,79676.92,79676.92
1 0300.601.16.153.20 2017,,985,HAINBAT LAN,622000.0,622000.0,,504082.39,117917.61,3413.25,,,
1 0300.601.18.153.20 2016,,861,EKIPAMENDUAK ETA ERAGINKORTASUN ENERGET.,,47674.12,,47674.12,,47674.12,47674.12,47674.12,47674.12
1 0300.601.20.153.20 2017,,93,UDAL ERAIKUNTZETAN LANAK,285000.0,312000.0,,311775.12,224.88,267935.58,82554.07,82554.07,82554.07
1 0300.601.20.153.20 2016,,862,UDAL ERAIKUNTZETAN LANAK,,94684.19,,94684.19,,90654.83,90654.83,90654.83,90654.83
1 0300.601.21.323.00 2017,,198,LAN TXIKIAK ESKOLETAN,195000.0,195000.0,,182910.13,12089.87,40064.38,28405.69,28405.69,28405.69
1 0300.601.23.153.20 2017,,55,ALFALTATZE-LANAK,100000.0,230000.0,,229958.77,41.23,,,,
1 0300.601.23.153.20 2016,,863,ALFALTATZE-LANAK,,159433.34,,159433.34,,144135.15,136691.79,136691.79,136691.79
1 0300.601.37.454.00 2017,,369,BASERRIETAKO AZPIEGITURA,140000.0,140000.0,,126940.07,13059.93,105659.7,,,
1 0300.601.37.454.00 2016,,864,BASERRIETAKO AZPIEGITURA,,5699.1,,5699.1,,5699.1,5699.1,5699.1,5699.1
1 0300.622.15.433.10 2017,,997,TURISMO  BULEGOKAREN EGOKITZAPENA,60000.0,60000.0,,,60000.0,,,,
1 0300.643.01.153.20 2017,,56,IKERKETA/AZTERKETA ETA PROIEKTUAK,143000.0,143000.0,,25373.7,117626.3,25373.7,11325.6,11325.6,11325.6
1 0300.643.01.153.20 2016,,866,IKERKETA/AZTERKETA ETA PROIEKTUAK,,209290.99,,206041.49,3249.5,206041.49,118385.9,118385.9,117841.4
1 0300.643.01.153.20 2015,,865,IKERKETA/AZTERKETA ETA PROIEKTUAK,,26075.5,,26075.5,,26075.5,17000.5,17000.5,17000.5
1 0400.120.01.153.40 2017,,61,OINARRIZKO ORDAINKETAK,67171.88,67171.88,,42849.48,24322.4,42849.48,42849.48,42849.48,42849.48
1 0400.120.01.165.00 2017,,91,OINARRIZKO ORDAINKETAK,12544.86,12544.86,,8033.91,4510.95,8033.91,8033.91,8033.91,8033.91
1 0400.121.99.153.40 2017,,62,BESTE OSAGARRI BATZUK,137572.09,137572.09,,110297.49,27274.6,110297.49,110297.49,110297.49,110297.49
1 0400.121.99.165.00 2017,,92,BESTE OSAGARRI BATZUK,25606.0,25606.0,,19943.2,5662.8,19943.2,19943.2,19943.2,19943.2
1 0400.130.03.153.40 2017,,63,ORDAINKETAK PERTSONAL LABORAL FINKOARI,376634.89,376634.89,,262894.39,113740.5,262894.39,262894.39,262894.39,262894.39
1 0400.130.03.164.00 2017,,579,ORDAINK.PERTSONAL LABORAL FINKOARI,23175.9,23175.9,,4018.94,19156.96,4018.94,4018.94,4018.94,4018.94
1 0400.130.03.165.00 2017,,580,ORDAINK.PERTSONAL LABORAL FINKOARI,78911.18,78911.18,,54819.1,24092.08,54819.1,54819.1,54819.1,54819.1
1 0400.130.03.171.00 2017,,102,ORDAINKETAK PERTSONAL LABORAL FINKOARI,94356.73,94356.73,,65030.96,29325.77,65030.96,65030.96,65030.96,65030.96
1 0400.130.03.323.00 2017,,188,ORDAINKETAK PERTSONAL LABORAL FINKOARI,139171.09,139171.09,,70250.0,68921.09,70250.0,70250.0,70250.0,70250.0
1 0400.130.03.920.40 2017,,433,ORDAINKETAK PERTSONAL LABORAL FINKOARI,95659.4,95659.4,,39264.3,56395.1,39264.3,39264.3,39264.3,39264.3
1 0400.131.01.153.40 2017,,64,LABORAL EBENTUALA,185652.16,185652.16,,186490.9,-838.74,186490.9,186490.9,186490.9,186490.9
1 0400.131.01.164.00 2017,,82,LABORAL EBENTUALA,74498.86,74498.86,,55490.18,19008.68,55490.18,55490.18,55490.18,55490.18
1 0400.131.01.171.00 2017,,103,LABORAL EBENTUALA,79871.82,79871.82,,46999.76,32872.06,46999.76,46999.76,46999.76,46999.76
1 0400.131.01.323.00 2017,,643,LABORAL EBENTUALA,,,,32034.85,-32034.85,32034.85,32034.85,32034.85,32034.85
1 0400.131.01.920.40 2017,,811,LABORAL EBENTUALA,,,,12238.14,-12238.14,12238.14,12238.14,12238.14,12238.14
1 0400.160.01.153.40 2017,,65,GIZARTE SEGURANTZA,263610.83,263610.83,,183422.22,80188.61,183422.22,183422.22,183422.22,183422.22
1 0400.160.01.164.00 2017,,83,GIZARTE SEGURANTZA,35872.07,35872.07,,21779.49,14092.58,21779.49,21779.49,21779.49,21779.49
1 0400.160.01.165.00 2017,,94,GIZARTE SEGURANTZA,40615.3,40615.3,,29697.12,10918.18,29697.12,29697.12,29697.12,29697.12
1 0400.160.01.171.00 2017,,104,GIZARTE SEGURANTZA,61522.85,61522.85,,32572.17,28950.68,32572.17,32572.17,32572.17,32572.17
1 0400.160.01.323.00 2017,,189,GIZARTE SEGURANTZA,48672.06,48672.06,,35264.24,13407.82,35264.24,35264.24,35264.24,35264.24
1 0400.160.01.920.40 2017,,434,GIZARTE SEGURANTZA,40797.62,40797.62,,-3334.96,44132.58,-3334.96,-3334.96,-3334.96,-3334.96
1 0400.160.04.153.40 2017,,66,ELKARKIDETZAREN KUOTAK,20500.06,20500.06,,15282.3,5217.76,15282.3,15282.3,15282.3,15282.3
1 0400.160.04.164.00 2017,,84,ELKARKIDETZAREN KUOTAK,2861.74,2861.74,,1434.3,1427.44,1434.3,1434.3,1434.3,1434.3
1 0400.160.04.165.00 2017,,95,ELKARKIDETZAREN KUOTAK,2861.74,2861.74,,2049.0,812.74,2049.0,2049.0,2049.0,2049.0
1 0400.160.04.171.00 2017,,105,ELKARKIDETZAREN KUOTAK,1912.26,1912.26,,683.0,1229.26,683.0,683.0,683.0,683.0
1 0400.160.04.323.00 2017,,190,ELKARKIDETZAREN KUOTAK,2868.39,2868.39,,2117.3,751.09,2117.3,2117.3,2117.3,2117.3
1 0400.160.04.920.40 2017,,435,ELKARKIDETZAREN KUOTAK,4936.78,4936.78,,1842.66,3094.12,1842.66,1842.66,1842.66,1842.66
1 0400.210.01.153.40 2017,,67,AZPIEGITURA ETA ONDASUN NATURALAK,153900.17,153900.17,,114331.72,39568.45,114331.72,93407.7,91733.06,89944.13
1 0400.210.01.153.40 2016,,867,AZPIEGITURA ETA ONDASUN NATURALAK,,6228.05,,6228.05,,6228.05,4552.94,4552.94,4552.94
1 0400.210.01.454.00 2017,,367,AZPIEGITURA ETA ONDASUN NATURALAK,70000.0,70000.0,,48749.13,21250.87,48749.13,32147.53,32147.53,29849.57
1 0400.211.01.323.00 2017,,191,ERAIKIN/BESTEL.ERAIK.MANTENIMEND.,46173.29,46173.29,,26789.89,19383.4,26789.89,21202.94,20551.95,17729.18
1 0400.211.01.323.00 2016,,868,ERAIKIN/BESTEL.ERAIK.MANTENIMEND.,,24512.47,,24512.47,,24512.47,24512.41,24512.41,24512.41
1 0400.211.01.333.10 2017,,226,ERAIKINAK ETA BESTELAKO ERAIKUNTZAK,9000.0,9000.0,,1283.81,7716.19,1283.81,1283.81,1283.81,1283.81
