#Partida,b,c,Descripción,Hasierako aurr.,Behin bet aurr.,Atxekipenak (RC),Erabilgarria,Baimendua ,Erabilia ,Onart. Oblig.
1 0200.771.05.152.20 2025 (1818),,,INDUSTRIA-AURRIAK ERAISTEA ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0200.780.02.152.20 2025 (45),,,FAMIL.FATXADAK/IGOGAILUAK ,150000.0,150000.0,0.0,150000.0,0.0,0.0,0.0
1 0300.120.01.153.20 2025 (46),,,OINARRIZKO ORDAINKETAK,180958.87,180958.87,0.0,108321.07,72637.8,72637.8,72637.8
1 0300.121.99.153.20 2025 (47),,,BESTE OSAGARRI BATZUK,249604.12,249604.12,0.0,118566.33,131037.79,131037.79,131037.79
1 0300.160.01.153.20 2025 (48),,,GIZARTE SEGURANTZA,124893.04,124893.04,0.0,96254.87,28638.17,28638.17,28638.17
1 0300.160.04.153.20 2025 (49),,,ELKARKIDETZAREN KUOTAK,9455.88,9455.88,0.0,5941.95,3513.93,3513.93,3513.93
1 0300.211.01.153.20 2025 (2315),,,ERAIKINAK ETA BESTELAKO ,37000.0,22000.0,0.0,22000.0,0.0,0.0,0.0
1 0300.226.01.153.20 2025 (3173),,,KANONAK,0.0,0.0,0.0,-3970.29,3970.29,3970.29,3970.29
1 0300.230.01.153.20 2025 (50),,,PERTSONAL.,400.0,400.0,0.0,335.48,64.52,64.52,64.52
1 0300.601.05.153.20 2025 (3182),,,HAUR ESKOLA BIRGAITZEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0300.601.06.153.20 2025 (2649),,,E.J.TORREKUA JUBILATU ETXEA NEXT,853000.0,853000.0,0.0,325638.01,527361.99,527361.99,356305.52
1 0300.601.08.153.20 2025 (52),,,HIRI INGURUEN HOBEKUNTZA-,3809240.91,3809240.91,506954.47,2667943.78,634342.66,634342.66,453.75
1 0300.601.10.153.20 2025 (2920),,,GABILONDO ANAI-ARREBEN ,4300000.0,4300000.0,0.0,4300000.0,0.0,0.0,0.0
1 0300.601.14.153.20 2025 (54),,,LAN TXIKIAK,640000.0,640000.0,0.0,364760.69,275239.31,275239.31,4646.4
1 0300.601.20.153.20 2025 (1285),,,UDAL ERAIKUNTZETAN LANAK,350000.0,350000.0,0.0,291856.56,58143.44,58143.44,58143.44
1 0300.601.21.323.00 2025 (198),,,LAN TXIKIAK ESKOLETAN,90000.0,90000.0,0.0,32620.25,57379.75,57379.75,0.0
1 0300.601.23.153.20 2025 (55),,,ALFALTATZE-LANAK,150000.0,150000.0,0.0,150000.0,0.0,0.0,0.0
1 0300.601.37.454.00 2025 (369),,,BASERRIETAKO AZPIEGITURA,350000.0,350000.0,198700.66,133367.14,17932.2,17932.2,6134.7
1 0300.601.83.153.20 2025 (2423),,,INSTALAZ. FOTOVOLTAIKOAK UDAK ,122500.0,137500.0,126935.23,10564.77,0.0,0.0,0.0
1 0300.625.01.153.20 2025 (1548),,,ALTZARIAK,17100.0,17100.0,0.0,17100.0,0.0,0.0,0.0
1 0300.625.03.323.00 2025 (3165),,,SEGURTASUN EKIPOAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0300.643.01.153.20 2025 (56),,,IKERKETA/AZTERKETA ETA ,270000.0,270000.0,0.0,211744.55,58255.45,58255.45,21308.1
1 0300.714.02.153.20 2025 (2680),,,TRENBIDEAREN TRAZATUA ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0400.120.01.153.40 2025 (61),,,OINARRIZKO ORDAINKETAK,127919.62,127919.62,0.0,87717.04,40202.58,40202.58,40202.58
1 0400.120.01.165.00 2025 (91),,,OINARRIZKO ORDAINKETAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0400.121.99.153.40 2025 (62),,,BESTE OSAGARRI BATZUK,196254.65,196254.65,0.0,112688.53,83566.12,83566.12,83566.12
