#Partida,b,c,Descripción,Pto definitivo,Dchos rec. netos
2 651.01 2025 (249),,,APROVECHAMIENTOS URBANISTICOS,30000.0,0.0
2 700.02 2025 (989),,,SUBV.EMERGENICA PROTECCION CIVIL,0.0,0.0
2 700.05 2025 (1061),,,G.V.SUBVENCION ESTUDIOS ,0.0,0.0
2 710.01 2025 (1095),,,REHABILITACION ESCUELA INFANTIL,0.0,0.0
2 710.02 2025 (198),,,G.V. SUBV.OBRAS CENTROS ,32000.0,8229.75
2 710.03 2025 (936),,,"G,VASCO ACCESIBILIDAD",0.0,0.0
2 710.04 2025 (699),,,GOBIERNO VASCO. HIRIGUNE,0.0,0.0
2 710.06 2025 (812),,,G.V. SUBV. REHABIL.EDIFIC. Bª ,0.0,0.0
2 710.08 2025 (565),,,G.V. SUBV. VARIAS INVERSIONES,1449369.69,0.0
2 710.09 2025 (1028),,,NEXT GENERETION.G.V. REHABILIT.,3984100.1,479037.53
2 710.12 2025 (1029),,,NEXT GENERETION G.V.,0.0,0.0
2 710.13 2025 (470),,,G.V.SUBV.IMPL.NUEV.TECNOLOG.,10000.0,0.0
2 710.16 2025 (1027),,,NEXT GENERETION.G.V. ,0.0,0.0
2 712.02 2025 (741),,,EVE -ENTE VASCO DE LA ENERGIA,0.0,0.0
2 720.01 2025 (769),,,DE LA DIPUTACION F. SUBV. VARIAS ,0.0,0.0
2 720.04 2025 (737),,,DIPUTAC. AYUDAS PARA CAMINOS ,2500.0,35000.0
2 720.05 2025 (1059),,,DIPUTACION SIBV.OBRAS PISO DE ,15870.0,0.0
2 833.01 2025 (57),,,ANTICIPOS DEL PERSONAL,14000.0,20208.43
2 860.01 2025 (58),,,DEVOLUCION DE FIANZAS A CORTO ,100.0,0.0
2 860.02 2025 (118),,,DEVOLUCION DE FIANZAS A LARGO ,100.0,0.0
2 870.01 2025 (638),,,REMANENTE TESORERIA GASTOS ,11825622.56,0.0
2 870.02 2025 (72),,,REMANENTE TESORERIA GASTOS FIN. ,0.0,0.0
2 933.01 2025 (59),,,DE FUERA DEL SECTOR PUBLICO ,9602446.11,0.0
