#Partida,b,c,Descripción,Pto inicial,Pto definitivo,Retenciones,Autorizado,Disponible,Dispuesto,Oblig. recon.
1 0300.601.14.153.20 2025 (54),,,OBRAS MENORES,640000.0,640000.0,0.0,275239.31,364760.69,275239.31,4646.4
1 0300.601.20.153.20 2025 (1285),,,OBRAS EN EDIFICIOS MUNICIPALES,350000.0,350000.0,0.0,58143.44,291856.56,58143.44,58143.44
1 0300.601.21.323.00 2025 (198),,,OBRAS MENORES EN CENTROS DE ,90000.0,90000.0,0.0,57379.75,32620.25,57379.75,0.0
1 0300.601.23.153.20 2025 (55),,,ASFALTADOS,150000.0,150000.0,0.0,0.0,150000.0,0.0,0.0
1 0300.601.37.454.00 2025 (369),,,INFRAESTRUCTURA RURAL,350000.0,350000.0,198700.66,17932.2,133367.14,17932.2,6134.7
1 0300.601.83.153.20 2025 (2423),,,INSTALACION FOTOVOLTAICA ,122500.0,137500.0,126935.23,0.0,10564.77,0.0,0.0
1 0300.625.01.153.20 2025 (1548),,,MOBILIARIO,17100.0,17100.0,0.0,0.0,17100.0,0.0,0.0
1 0300.625.03.323.00 2025 (3165),,,EQUIPOS DE SEGURIDAD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0300.643.01.153.20 2025 (56),,,INVESTIGACIONES/ESTUDIOS Y ,270000.0,270000.0,0.0,58255.45,211744.55,58255.45,21308.1
1 0300.714.02.153.20 2025 (2680),,,COBERTURA TRAZADO FERROVIARIO ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0400.120.01.153.40 2025 (61),,,RETRIBUCIONES BASICAS,127919.62,127919.62,0.0,40202.58,87717.04,40202.58,40202.58
1 0400.120.01.165.00 2025 (91),,,RETRIBUCIONES BASICAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0400.121.99.153.40 2025 (62),,,COMPLEMENTOS VARIOS,196254.65,196254.65,0.0,83566.12,112688.53,83566.12,83566.12
1 0400.121.99.165.00 2025 (92),,,COMPLEMENTOS VARIOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0400.130.03.153.40 2025 (63),,,REMUNERACIONES PERSONAL ,369478.25,369478.25,0.0,171067.64,198410.61,171067.64,171067.64
1 0400.130.03.164.00 2025 (2892),,,REMUNERACIONES PERSONAL ,0.0,0.0,0.0,15521.94,-15521.94,15521.94,15521.94
1 0400.130.03.165.00 2025 (580),,,REMUN.PERSONAL LABORAL FIJO,47580.24,47580.24,0.0,41299.85,6280.39,41299.85,41299.85
1 0400.130.03.171.00 2025 (102),,,REMUNERACIONES PERSONAL ,39737.87,39737.87,0.0,99458.96,-59721.09,99458.96,99458.96
1 0400.130.03.323.00 2025 (188),,,REMUNERACIONES PERSONAL ,34125.79,34125.79,0.0,31301.9,2823.89,31301.9,31301.9
1 0400.130.03.920.40 2025 (433),,,REMUNERACIONES PERSONAL ,50607.58,50607.58,0.0,26462.21,24145.37,26462.21,26462.21
1 0400.131.01.153.40 2025 (64),,,LABORAL EVENTUAL,505452.85,505452.85,0.0,247540.14,257912.71,247540.14,247540.14
1 0400.131.01.164.00 2025 (82),,,LABORAL EVENTUAL,133172.1,133172.1,0.0,38654.42,94517.68,38654.42,38654.42
1 0400.131.01.165.00 2025 (1541),,,LABORAL EVENTUAL,92846.76,92846.76,0.0,24294.11,68552.65,24294.11,24294.11
1 0400.131.01.171.00 2025 (103),,,LABORAL EVENTUAL,241752.11,241752.11,0.0,34564.66,207187.45,34564.66,34564.66
1 0400.131.01.323.00 2025 (643),,,LABORAL EVENTUAL,121161.54,121161.54,0.0,46516.64,74644.9,46516.64,46516.64
1 0400.131.01.920.40 2025 (811),,,LABORAL EVENTUAL,208991.73,208991.73,0.0,80327.61,128664.12,80327.61,80327.61
1 0400.160.01.153.40 2025 (65),,,SEGURIDAD SOCIAL,450527.76,450527.76,0.0,114551.82,335975.94,114551.82,114551.82
1 0400.160.01.164.00 2025 (83),,,SEGURIDAD SOCIAL,47038.46,47038.46,0.0,6041.54,40996.92,6041.54,6041.54
1 0400.160.01.165.00 2025 (94),,,SEGURIDAD SOCIAL,59763.71,59763.71,0.0,23359.31,36404.4,23359.31,23359.31
1 0400.160.01.171.00 2025 (104),,,SEGURIDAD SOCIAL,98974.3,98974.3,0.0,44181.14,54793.16,44181.14,44181.14
1 0400.160.01.323.00 2025 (189),,,SEGURIDAD SOCIAL,55180.88,55180.88,0.0,25365.31,29815.57,25365.31,25365.31
1 0400.160.01.920.40 2025 (434),,,SEGURIDAD SOCIAL,86039.53,86039.53,0.0,32676.88,53362.65,32676.88,32676.88
1 0400.160.04.153.40 2025 (66),,,CUOTAS ELKARKIDETZA,24114.15,24114.15,0.0,6974.28,17139.87,6974.28,6974.28
1 0400.160.04.164.00 2025 (84),,,CUOTAS ELKARKIDETZA,5539.04,5539.04,0.0,558.74,4980.3,558.74,558.74
1 0400.160.04.165.00 2025 (95),,,CUOTAS ELKARKIDETZA,3323.42,3323.42,0.0,1117.48,2205.94,1117.48,1117.48
1 0400.160.04.171.00 2025 (105),,,CUOTAS ELKARKIDETZA,4431.23,4431.23,0.0,1117.48,3313.75,1117.48,1117.48
1 0400.160.04.323.00 2025 (190),,,CUOTAS ELKARKIDETZA,5539.04,5539.04,0.0,2234.96,3304.08,2234.96,2234.96
1 0400.160.04.920.40 2025 (435),,,CUOTAS ELKARKIDETZA,3006.91,3006.91,0.0,1117.48,1889.43,1117.48,1117.48
