#Partida,b,c,Descripción,Hasierako aurr.,Behin bet aurr.,Atxekipenak (RC),Baimendua ,Erabilgarria,Erabilia ,Onart. Oblig.
1 0200.771.05.152.20 2024 (1818),,,INDUSTRIA-AURRIAK ERAISTEA ,40000.0,40000.0,0.0,0.0,40000.0,0.0,0.0
1 0200.780.02.152.20 2024 (45),,,FAMIL.FATXADAK/IGOGAILUAK ,200000.0,200000.0,0.0,199812.59,187.41,199812.59,199812.59
1 0300.120.01.153.20 2024 (46),,,OINARRIZKO ORDAINKETAK,185575.77,185575.77,0.0,146382.63,39193.14,146382.63,146382.63
1 0300.121.99.153.20 2024 (47),,,BESTE OSAGARRI BATZUK,256762.4,256762.4,0.0,263416.5,-6654.1,263416.5,263416.5
1 0300.160.01.153.20 2024 (48),,,GIZARTE SEGURANTZA,111053.74,111053.74,0.0,61482.86,49570.88,61482.86,61482.86
1 0300.160.04.153.20 2024 (49),,,ELKARKIDETZAREN KUOTAK,9924.78,9924.78,0.0,7145.95,2778.83,7145.95,7145.95
1 0300.211.01.153.20 2024 (2315),,,ERAIKINAK ETA BESTELAKO ,41000.0,41000.0,0.0,1482.57,39517.43,1482.57,1482.57
1 0300.230.01.153.20 2024 (50),,,PERTSONAL.,100.0,100.0,0.0,0.0,100.0,0.0,0.0
1 0300.601.06.153.20 2024 (2649),,,E.J.TORREKUA JUBILATU ETXEA NEXT,281199.34,281199.34,0.0,281199.34,0.0,281199.34,4984.17
1 0300.601.08.153.20 2024 (52),,,HIRI INGURUEN HOBEKUNTZA-,4070000.0,4070000.0,0.0,3286308.52,783691.48,3286308.52,1356200.21
1 0300.601.14.153.20 2024 (54),,,LAN TXIKIAK,640000.0,640000.0,0.0,282859.03,357140.97,282859.03,228926.04
1 0300.601.20.153.20 2024 (1285),,,UDAL ERAIKUNTZETAN LANAK,410000.0,410000.0,0.0,325673.59,84326.41,325673.59,253059.75
1 0300.601.21.323.00 2024 (198),,,LAN TXIKIAK ESKOLETAN,100000.0,100000.0,0.0,99833.04,166.96,99833.04,98683.54
1 0300.601.23.153.20 2024 (55),,,ALFALTATZE-LANAK,100000.0,100000.0,0.0,98406.79,1593.21,98406.79,98406.79
1 0300.601.37.454.00 2024 (369),,,BASERRIETAKO AZPIEGITURA,365000.0,365000.0,0.0,364591.92,408.08,364591.92,363660.22
1 0300.601.83.153.20 2024 (2423),,,INSTALAZ. FOTOVOLTAIKOAK UDAK ,130000.0,130000.0,0.0,104907.72,25092.28,104907.72,1197.9
1 0300.625.01.153.20 2024 (1548),,,ALTZARIAK,19000.0,19000.0,0.0,750.2,18249.8,750.2,750.2
1 0300.643.01.153.20 2024 (56),,,IKERKETA/AZTERKETA ETA ,186000.0,186000.0,0.0,100483.3,85516.7,100483.3,35252.2
1 0300.714.02.153.20 2024 (2680),,,TRENBIDEAREN TRAZATUA ,366899.09,366899.09,0.0,366899.09,0.0,0.0,0.0
1 0400.120.01.153.40 2024 (61),,,OINARRIZKO ORDAINKETAK,112749.35,112749.35,0.0,76597.59,36151.76,76597.59,76597.59
1 0400.120.01.165.00 2024 (91),,,OINARRIZKO ORDAINKETAK,0.0,0.0,0.0,5905.64,-5905.64,5905.64,5905.64
1 0400.121.99.153.40 2024 (62),,,BESTE OSAGARRI BATZUK,170687.36,170687.36,0.0,157672.37,13014.99,157672.37,157672.37
1 0400.121.99.165.00 2024 (92),,,BESTE OSAGARRI BATZUK,0.0,0.0,0.0,17005.77,-17005.77,17005.77,17005.77
1 0400.130.03.153.40 2024 (63),,,ORDAINKETAK PERTSONAL LABORAL ,385607.64,385607.64,0.0,349504.73,36102.91,349504.73,349504.73
1 0400.130.03.164.00 2024 (2892),,,ORDAINKETAK PERTSONAL LABORAL ,0.0,0.0,0.0,6652.26,-6652.26,6652.26,6652.26
1 0400.130.03.165.00 2024 (580),,,ORDAINK.PERTSONAL LABORAL ,155244.11,155244.11,0.0,51347.29,103896.82,51347.29,51347.29
1 0400.130.03.171.00 2024 (102),,,ORDAINKETAK PERTSONAL LABORAL ,38355.85,38355.85,0.0,141686.83,-103330.98,141686.83,141686.83
1 0400.130.03.323.00 2024 (188),,,ORDAINKETAK PERTSONAL LABORAL ,157454.4,157454.4,0.0,43823.57,113630.83,43823.57,43823.57
1 0400.130.03.920.40 2024 (433),,,ORDAINKETAK PERTSONAL LABORAL ,97604.72,97604.72,0.0,68815.14,28789.58,68815.14,68815.14
1 0400.131.01.153.40 2024 (64),,,LABORAL EBENTUALA,448594.46,448594.46,0.0,648324.21,-199729.75,648324.21,648324.21
1 0400.131.01.164.00 2024 (82),,,LABORAL EBENTUALA,93189.68,93189.68,0.0,80859.41,12330.27,80859.41,80859.41
1 0400.131.01.165.00 2024 (1541),,,LABORAL EBENTUALA,0.0,0.0,0.0,25576.42,-25576.42,25576.42,25576.42
1 0400.131.01.171.00 2024 (103),,,LABORAL EBENTUALA,204270.28,204270.28,0.0,114512.87,89757.41,114512.87,114512.87
1 0400.131.01.323.00 2024 (643),,,LABORAL EBENTUALA,0.0,0.0,0.0,93447.17,-93447.17,93447.17,93447.17
1 0400.131.01.920.40 2024 (811),,,LABORAL EBENTUALA,0.0,0.0,0.0,176027.77,-176027.77,176027.77,176027.77
1 0400.160.01.153.40 2024 (65),,,GIZARTE SEGURANTZA,477585.78,477585.78,0.0,282226.76,195359.02,282226.76,282226.76
1 0400.160.01.164.00 2024 (83),,,GIZARTE SEGURANTZA,35429.04,35429.04,0.0,8749.63,26679.41,8749.63,8749.63
1 0400.160.01.165.00 2024 (94),,,GIZARTE SEGURANTZA,64001.07,64001.07,0.0,19489.52,44511.55,19489.52,19489.52
