#Partida,,,Has.ko aurrek.,B. betiko aurrek.,Baimendua,Erabilgarria,Xedatua,Obligazioa,ME,Ordainketa
1 0200.227.07.152.30 2024,,"IKERKETA,AZERKETA EA PROIEKTUAK",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0200.227.07.172.00 2024,,AZITAINGO LURZORUAREN KALIT.KONTR.,165000.0,165000.0,4250.13,160749.87,4250.13,0.0,0.0,0.0
1 0200.227.07.172.00 2023,,AZITAINGO LURZORUAREN KALIT.KONTR.,0.0,0.0,19918.05,-19918.05,19918.05,0.0,13546.92,6527.95
1 0200.227.90.151.00 2024,,KANPOKO LANAK,20000.0,20000.0,0.0,20000.0,0.0,0.0,0.0,0.0
1 0200.227.90.172.00 2024,,KANPOKO LANAK,9736.2,9736.2,363.0,9373.2,363.0,0.0,0.0,0.0
1 0200.227.90.172.00 2023,,KANPOKO LANAK,0.0,0.0,853.05,-853.05,853.05,0.0,302.5,302.5
1 0200.227.99.151.00 2024,,KONTRATOAK KANPOKOEKIN. NEURKETAK,1500.0,1500.0,0.0,1500.0,0.0,0.0,0.0,0.0
1 0200.227.99.172.00 2024,,KANPOKO BESTELAKO LANAK,124828.8,124828.8,9254.52,115574.28,9254.52,0.0,0.0,0.0
1 0200.227.99.172.00 2023,,KANPOKO BESTELAKO LANAK,0.0,0.0,458.59,-458.59,458.59,0.0,458.59,0.0
1 0200.230.01.151.00 2024,,PERTSONAL DIETAK/GARRAIOA/LEKUALDAKETA,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0
1 0200.230.01.172.00 2024,,"PERTSONALAREN DIETAK, GARRAIOA ETA LEK.",100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0
1 0200.480.01.152.20 2024,,FAMILIEI. KALEKO IGOGAILUEN MANTENIM.,6000.0,6000.0,0.0,6000.0,0.0,0.0,0.0,0.0
1 0200.480.01.152.30 2024,,FAMILIEI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0200.480.01.152.30 2022,,FAMILIEI,0.0,0.0,8320.0,-8320.0,8320.0,0.0,0.0,0.0
1 0200.481.01.172.00 2024,,IRABAIZKO XEDERIK GABEKO ERAKUNDEEI,11000.0,11000.0,0.0,11000.0,0.0,0.0,0.0,0.0
1 0200.481.01.172.00 2023,,IRABAIZKO XEDERIK GABEKO ERAKUNDEEI,0.0,0.0,9000.0,-9000.0,9000.0,0.0,0.0,0.0
1 0200.481.21.152.20 2024,,DIRU-LAG.HERRIKO KOADRILA ELKARTEARI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0200.600.01.172.00 2024,,INBERTSIOAK LURRETAN,10000.0,10000.0,0.0,10000.0,0.0,0.0,0.0,0.0
1 0200.600.04.151.00 2024,,LUR ONDARERAKO EROSKETAK,500000.0,500000.0,0.0,500000.0,0.0,0.0,0.0,0.0
1 0200.600.04.151.00 2023,,LUR ONDARERAKO EROSKETAK,0.0,0.0,142065.24,-142065.24,142065.24,0.0,0.0,0.0
1 0200.601.16.172.00 2024,,"BESTE LAN BATZUK, INGURUMENA",80000.0,80000.0,0.0,80000.0,0.0,0.0,0.0,0.0
1 0200.625.02.172.00 2024,,AIREAREN KALITATEAREN NEURGAILUAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0200.642.01.151.00 2024,,HIRI-MUGIKORTASUNEKO PLAN OROKORRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0200.643.01.172.00 2024,,"IKERKETA,AZTERLANAK ETA PROIEKTUAK",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0200.771.05.152.20 2024,,INDUSTRIA-AURRIAK ERAISTEA LAGUNTZA,40000.0,40000.0,0.0,40000.0,0.0,0.0,0.0,0.0
1 0200.780.02.152.20 2024,,FAMIL.FATXADAK/IGOGAILUAK BIRGAITU,200000.0,200000.0,0.0,200000.0,0.0,0.0,0.0,0.0
1 0200.780.02.152.20 2023,,FAMIL.FATXADAK/IGOGAILUAK BIRGAITU,0.0,0.0,459258.27,-459258.27,0.0,0.0,0.0,0.0
1 0200.780.02.152.20 2020,,FAMIL.FATXADAK/IGOGAILUAK BIRGAITU,0.0,0.0,400000.0,-400000.0,50000.0,0.0,0.0,0.0
1 0200.780.04.152.20 2018,,FAMILIEI. TXONTAKO ERAIKIN. BERRIZT. LAN,0.0,0.0,320225.09,-320225.09,313421.75,0.0,0.0,0.0
1 0200.780.05.152.20 2024,,NEXT GENERETION.E.J.TXONTA ERAIKINEN BE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0200.780.05.152.20 2023,,NEXT GENERETION.E.J.TXONTA ERAIKINEN BE,0.0,0.0,1938000.0,-1938000.0,919207.98,0.0,0.0,0.0
