#Partida,,,Has.ko aurrek.,B. betiko aurrek.,Baimendua,Erabilgarria,Xedatua,Obligazioa,ME,Ordainketa
1 0700.226.03.334.40 2024,,"ARGITALPENAK,PUBLIZITATEA ETA PROPAGANDA",12000.0,12000.0,0.0,12000.0,0.0,442.0,442.0,442.0
1 0700.226.03.338.00 2024,,ARGITALPENAK/PUBLIZITATEA ETA PROPAGANDA,13175.0,13175.0,447.7,12727.3,447.7,389.62,389.62,389.62
1 0700.226.05.332.10 2024,,BILERA ETA HITZALDIAK,3920.0,3920.0,0.0,3920.0,0.0,0.0,0.0,0.0
1 0700.226.05.333.30 2024,,BILERA ETA HITZALDIAK,1000.0,1000.0,0.0,1000.0,0.0,0.0,0.0,0.0
1 0700.226.05.334.30 2024,,BILERA ETA HITZALDIAK,10600.0,10600.0,1335.19,9264.81,1335.19,436.77,436.77,436.77
1 0700.226.05.334.30 2023,,BILERA ETA HITZALDIAK,0.0,719.01,0.0,719.01,0.0,719.01,0.0,719.01
1 0700.226.06.334.10 2024,,JARDUERA SOCIOKULTURALAK,100000.0,100000.0,83943.85,16056.15,83943.85,25694.35,25694.35,25694.35
1 0700.226.06.334.30 2024,,JARDUERA SOZIOKULTURALAK,50500.0,50500.0,0.0,50500.0,0.0,450.0,450.0,450.0
1 0700.226.06.337.20 2024,,JARDUERA SOZIOKULTURALAK,66150.0,66150.0,2833.25,63316.75,2833.25,10609.13,11509.13,11509.13
1 0700.226.06.337.20 2023,,JARDUERA SOZIOKULTURALAK,0.0,9272.95,0.0,9272.95,0.0,7223.96,0.0,0.0
1 0700.226.06.338.00 2024,,JARDUERA SOZIOKULTURALAK,155000.0,155000.0,52963.75,75416.25,52963.75,30193.94,29592.66,52606.86
1 0700.226.06.338.00 2023,,JARDUERA SOZIOKULTURALAK,0.0,18724.75,0.0,18724.75,0.0,18724.75,0.0,0.0
1 0700.226.81.337.20 2024,,HAINBAT GASTU. GAZTEEND.INFORMAZ.BULEGOA,2000.0,2000.0,0.0,2000.0,0.0,0.0,0.0,0.0
1 0700.226.92.337.20 2024,,ARRATE UDALEKUA,12000.0,12000.0,0.0,12000.0,0.0,0.0,0.0,0.0
1 0700.226.99.333.30 2024,,GERRA ZIBILA EIBARREN. INTERPRET.ZENTROA,20000.0,20000.0,0.0,20000.0,0.0,108.9,108.9,108.9
1 0700.227.04.332.10 2024,,KONTRATU SOZIOKULTURALAK,24052.8,24052.8,0.0,19862.8,0.0,7984.0,7984.0,8424.0
1 0700.227.04.334.10 2024,,KONTRATU SOZIOKULTURALAK,50000.0,50000.0,18119.83,31880.17,18119.83,41681.23,45201.23,45201.23
1 0700.227.04.334.10 2023,,KONTRATU SOZIOKULTURALAK,0.0,6457.41,0.0,6457.41,0.0,5407.41,0.0,5407.41
1 0700.227.04.334.21 2024,,KONTRATU SOZIOKULTURALAK,60000.0,60000.0,5528.0,54472.0,5528.0,7024.25,7024.25,7024.25
1 0700.227.04.334.22 2024,,KONTRATU SOZIOKULTURALAK,170000.0,170000.0,13184.4,156815.6,13184.4,104651.2,114826.2,159706.2
1 0700.227.04.334.30 2024,,KONTRATU SOZIOKULTURALAK,10000.0,10000.0,3206.5,6793.5,3206.5,3206.5,3206.5,3206.5
1 0700.227.04.334.50 2024,,KONTRATU SOZIOKULTURALAK,65000.0,65000.0,17844.08,47155.92,17844.08,21892.99,23092.99,23092.99
1 0700.227.04.334.50 2023,,KONTRATU SOZIOKULTURALAK,0.0,4800.0,0.0,4800.0,0.0,4800.0,1200.0,1200.0
1 0700.227.04.337.20 2024,,KONTRATU SOZIOKULTURALAK,3605.0,3605.0,0.0,3605.0,0.0,0.0,0.0,0.0
1 0700.227.04.338.00 2024,,KONTRATU SOZIOKULTURALAK,278000.0,278000.0,329940.71,7321.29,329940.71,54802.39,55186.29,61291.29
1 0700.227.04.338.00 2023,,KONTRATU SOZIOKULTURALAK,0.0,528.0,0.0,528.0,0.0,528.0,0.0,0.0
1 0700.227.90.326.10 2024,,KANPOKO LANAK,5000.0,5000.0,0.0,5000.0,0.0,0.0,0.0,0.0
1 0700.227.90.333.10 2024,,KANPOKO LANAK,265000.0,265000.0,0.0,265000.0,0.0,24198.32,24198.32,24198.32
1 0700.227.90.333.10 2023,,KANPOKO LANAK,0.0,45763.51,0.0,45763.51,0.0,19882.45,0.0,0.0
1 0700.227.90.333.30 2024,,KANPOKO LANAK,30000.0,30000.0,1222.1,28777.9,1222.1,5247.12,7642.92,7678.76
1 0700.227.90.334.10 2024,,BILDUTAKO DIRUAREN ARABERAKO KONTRATUAK,20000.0,20000.0,0.0,20000.0,0.0,0.0,0.0,0.0
1 0700.227.90.334.22 2024,,KANPOKO LANAK,10000.0,10000.0,0.0,10000.0,0.0,0.0,0.0,0.0
1 0700.227.90.334.50 2024,,KANPOKO LANAK,40000.0,40000.0,0.0,40000.0,0.0,0.0,0.0,0.0
1 0700.227.90.334.50 2023,,KANPOKO LANAK,0.0,4922.28,0.0,4922.28,0.0,820.38,820.38,820.38
1 0700.227.90.337.20 2024,,KANPOKO LANAK,76000.0,76000.0,15063.29,60936.71,15063.29,19963.29,19963.29,19963.29
1 0700.227.99.332.10 2024,,KANPOKO BESTELAKO LANAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0700.227.99.333.30 2024,,KANPOKO BESTELAKO LANAK,52000.0,52000.0,0.0,52000.0,0.0,14421.09,18211.72,18211.72
1 0700.227.99.334.10 2024,,KANPOKO BESTELAKO LANAK,111235.97,111235.97,0.0,111235.97,0.0,35941.75,35941.75,40860.75
1 0700.227.99.334.21 2024,,BILDUTAKO DIRUAREN ARABERAKO KONTRATUAK,25000.0,25000.0,0.0,25000.0,0.0,0.0,0.0,0.0
1 0700.227.99.334.30 2024,,KANPOKO BESTELAKO LANAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0700.227.99.334.40 2024,,KANPOKO BESTELAKO LANAK,118000.0,118000.0,6134.7,111865.3,6134.7,28115.45,34963.45,34963.45
1 0700.227.99.334.40 2023,,KANPOKO BESTELAKO LANAK,0.0,20353.89,0.0,20353.89,0.0,16018.71,0.0,9673.47
1 0700.227.99.337.20 2024,,KANPOKO BESTELAKO LANAK,509205.15,509205.15,0.0,509205.15,0.0,68535.0,93387.18,93387.18
1 0700.227.99.338.00 2024,,EUSKAL BIZIKLETA.KANPOKO LANAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0700.230.01.326.10 2024,,"PERTSONALAREN DIETAK, GARRAIOA ETA LEKUA",100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0
1 0700.230.01.330.00 2024,,PERTSONAL.DIETAK/GARRAIOA/LEKUALDAKETA,100.0,100.0,856.12,-756.12,856.12,856.12,856.12,856.12
1 0700.230.01.332.10 2024,,PERTSONAL.DIETAK/GARRAIOA/LEKUALDAKETA,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0
1 0700.230.01.333.30 2024,,PERTSONAL.DIETAK/GARRAIOA/LEKUALDAKETA,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0
1 0700.230.01.334.22 2024,,"DIETAK, GARRAIOA ETA LEKUALDAKETA",1500.0,1500.0,0.0,1500.0,0.0,0.0,0.0,0.0
1 0700.230.01.334.22 2023,,"DIETAK, GARRAIOA ETA LEKUALDAKETA",0.0,99.2,0.0,99.2,0.0,99.2,0.0,0.0
1 0700.230.01.334.30 2024,,PERTSONAL.DIETAK/GARRAIOA/LEKUALDAKETA,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0
1 0700.230.01.334.50 2024,,"PERTSONALAREN DIETAK,GARRAIOA ETA LEKUAL",100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0
1 0700.231.01.337.20 2024,,"PERTSONALAREN DIETAK,GARRAIOA ETA LEKUAD",100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0
1 0700.480.01.334.30 2024,,FEMILEEI.KARTELEEN LEHIAKETA,4050.0,4050.0,0.0,4050.0,0.0,0.0,0.0,0.0
1 0700.480.01.334.40 2024,,FAMILIEI,9500.0,9500.0,0.0,9500.0,0.0,0.0,0.0,0.0
1 0700.480.01.338.00 2024,,FAMILIEI.JAIETAKO KARTEL LEHIAKETA,5600.0,5600.0,1300.0,4300.0,1300.0,1300.0,1300.0,1300.0
1 0700.481.01.330.00 2024,,IRABAZIZKO XEDERIK GABEKO ERAKUNDEEI,61600.0,61600.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0700.481.01.330.00 2023,,IRABAZIZKO XEDERIK GABEKO ERAKUNDEEI,0.0,30900.0,0.0,30900.0,0.0,0.0,0.0,0.0
1 0700.481.01.332.10 2024,,IRABAZIZKO XEDERIK GABEKO ERAKUNDEEI,2500.0,2500.0,0.0,2500.0,0.0,0.0,0.0,0.0
1 0700.481.01.332.10 2023,,IRABAZIZKO XEDERIK GABEKO ERAKUNDEEI,0.0,2500.0,0.0,2500.0,0.0,0.0,0.0,0.0
1 0700.481.01.334.10 2024,,IRABAZIZKO XEDERIK GABEKO ERAKUNDEEI,600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0700.481.01.334.22 2024,,FAMILIEI,1000.0,1000.0,0.0,1000.0,0.0,0.0,0.0,0.0
1 0700.481.01.334.30 2024,,IRABAZIZKO XEDERIK GABEKO ERAKUNDEEI,5737.5,5737.5,0.0,0.0,0.0,0.0,0.0,0.0
1 0700.481.01.334.30 2023,,IRABAZIZKO XEDERIK GABEKO ERAKUNDEEI,0.0,4218.75,0.0,4218.75,0.0,4050.0,4050.0,4050.0
1 0700.481.01.334.40 2024,,IRABAZIZKO XEDERIK GABEKO ERAKUNDEEI,1350.0,1350.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0700.481.02.334.10 2024,,ENTIT.TRANSF.LANKIDETZ.HITZARM.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0700.481.02.334.21 2024,,ENTIT.TRANSF.LANKIDETZ.HITZARM.,34000.0,34000.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0700.481.02.334.21 2023,,ENTIT.TRANSF.LANKIDETZ.HITZARM.,0.0,3400.0,0.0,3400.0,0.0,0.0,0.0,0.0
1 0700.481.02.334.40 2024,,ENTIT.TRANSF.LANKIDETZ.HITZARM.,5250.0,5250.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0700.481.02.334.40 2023,,ENTIT.TRANSF.LANKIDETZ.HITZARM.,0.0,6600.0,0.0,6600.0,0.0,1350.0,1350.0,1350.0
1 0700.481.02.337.20 2024,,ENTIT.TRANSF.LANKIDETZ.HITZARM.,4065.0,4065.0,0.0,2065.0,0.0,0.0,0.0,0.0
1 0700.481.02.337.20 2023,,ENTIT.TRANSF.LANKIDETZ.HITZARM.,0.0,4065.0,0.0,4065.0,0.0,0.0,0.0,0.0
1 0700.481.18.338.00 2024,,ERAKUNDEEI.JAI-BATZORDEAK,23700.0,23700.0,0.0,9000.0,0.0,0.0,0.0,0.0
1 0700.481.18.338.00 2023,,ERAKUNDEEI.JAI-BATZORDEAK,0.0,6384.0,0.0,6384.0,0.0,0.0,0.0,0.0
1 0700.601.05.333.30 2024,,INBERTSIOA MUSEOAN,1000.0,1000.0,0.0,1000.0,0.0,0.0,0.0,0.0
1 0700.623.05.332.10 2024,,Herritarren segurtasunerako ekipoak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0700.625.01.326.10 2024,,ALTZARIAK,2000.0,2000.0,191.18,1808.82,191.18,191.18,191.18,191.18
1 0700.625.01.334.50 2024,,ALTZARIAK,10000.0,10000.0,0.0,10000.0,0.0,0.0,0.0,0.0
1 0700.625.02.333.10 2024,,BULEGO EKIPOAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0700.625.02.334.50 2024,,BULEGO EKIPOAK,1500.0,1500.0,0.0,1500.0,0.0,0.0,0.0,0.0
1 0700.625.06.326.10 2024,,ALTZARIAK,8000.0,8000.0,1442.08,6557.92,1442.08,1442.08,1442.08,1442.08
1 0700.625.06.326.10 2023,,ALTZARIAK,0.0,4913.0,0.0,4913.0,0.0,4913.0,0.0,0.0
1 0700.626.01.326.10 2024,,INFORMAZIO PROZESUETARAKO EKIPOAK,4000.0,4000.0,0.0,4000.0,0.0,0.0,0.0,0.0
1 0700.626.01.332.10 2024,,LIBURUTEGI  EKIPO BERRIAK,1500.0,1500.0,0.0,1500.0,0.0,0.0,0.0,0.0
1 0700.626.01.333.10 2024,,INFORMAZIO-PROZESUETARAKO EKIPOAK,5000.0,5000.0,0.0,5000.0,0.0,0.0,0.0,0.0
1 0700.626.01.333.10 2023,,INFORMAZIO-PROZESUETARAKO EKIPOAK,0.0,10307.7,0.0,10307.7,0.0,5156.0,0.0,0.0
1 0700.626.01.333.20 2024,,INFORMAZIO PROZESUETARAKO EKIPOAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0700.626.01.334.30 2024,,INFORMAZIO-PROZEZUETARAKO EKIPOAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0700.629.01.333.10 2024,,COLISEO ANTZERKIRAKO PROIEKTOREA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0700.629.07.333.30 2024,,MUSEOTAKO FONDOAK,10000.0,10000.0,0.0,10000.0,0.0,0.0,0.0,0.0
1 0800.120.01.335.10 2024,,OINARRIZKO ORDAINKETAK,73659.21,73659.21,7316.14,66343.07,7316.14,7316.14,7316.14,7316.14
1 0800.120.01.335.20 2024,,OINARRIZKO ORDAINKETAK,143604.74,143604.74,60404.29,83200.45,60404.29,60404.29,60404.29,60404.29
1 0800.121.99.335.10 2024,,BESTE OSAGARRI BATZUK,86683.63,86683.63,10137.62,76546.01,10137.62,10137.62,10137.62,10137.62
1 0800.121.99.335.20 2024,,BESTE OSAGARRI BATZUK,125432.19,125432.19,69508.47,55923.72,69508.47,69508.47,69508.47,69508.47
1 0800.160.01.335.10 2024,,GIZARTE SEGURANTZA,40373.45,40373.45,3721.64,36651.81,3721.64,3721.64,3721.64,3721.64
1 0800.160.01.335.20 2024,,GIZARTE SEGURANTZA,72151.42,72151.42,30911.86,41239.56,30911.86,30911.86,30911.86,30911.86
1 0800.160.04.335.10 2024,,ELKARKIDETZAREN KUOTAK,3182.58,3182.58,452.44,2730.14,452.44,452.44,452.44,452.44
1 0800.160.04.335.20 2024,,ELKARKIDETZAREN KUOTAK,7670.72,7670.72,3538.32,4132.4,3538.32,3538.32,3538.32,3538.32
1 0800.211.01.335.20 2024,,ERAIKINAK ETA BESTELAKO ERAIKUNTZAK,400.0,400.0,0.0,400.0,0.0,0.0,0.0,0.0
1 0800.215.01.335.10 2024,,INFORMAZIO-PROZESUETARAKO EKIPOAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0800.219.01.335.20 2024,,BESTELAKO IBILGETU MATERIALA,300.0,300.0,0.0,300.0,0.0,0.0,0.0,0.0
1 0800.221.99.335.20 2024,,BESTELAKO HORNIDURAK,1500.0,1500.0,363.39,1136.61,363.39,285.68,512.68,512.68
1 0800.226.03.335.10 2024,,ARGITALPENAK/PUBLIZITATEA ETA PROPAGANDA,5000.0,5000.0,713.9,4286.1,713.9,0.0,0.0,0.0
1 0800.226.03.335.20 2024,,ARGITALPENAK/PUBLIZITATEA ETA PROPAGANDA,4300.0,4300.0,2198.94,2101.06,2198.94,272.98,219.62,219.62
1 0800.226.05.335.10 2024,,BILERA ETA HITZALDIAK,300.0,300.0,0.0,300.0,0.0,0.0,0.0,0.0
1 0800.226.99.335.10 2024,,BESTE HAINBAT GASTU,13847.0,13847.0,0.0,13847.0,0.0,0.0,0.0,0.0
1 0800.226.99.335.20 2024,,BESTE HAINBAT GASTU,3000.0,3000.0,0.0,3000.0,0.0,0.0,0.0,0.0
1 0800.227.04.335.10 2024,,KONTRATU SOZIOKULTURALAK,138365.0,138365.0,5623.28,119989.72,5623.28,30859.28,33940.33,33940.33
1 0800.227.04.335.10 2023,,KONTRATU SOZIOKULTURALAK,0.0,19527.44,0.0,19527.44,0.0,12054.47,12054.47,12054.47
1 0800.227.87.335.10 2024,,EUSKARAREN PLAN ESTRATEGIKOA GARATZEKO,48000.0,48000.0,10551.89,30548.11,10551.89,8627.59,9504.3,9504.3
1 0800.227.87.335.10 2023,,EUSKARAREN PLAN ESTRATEGIKOA GARATZEKO,0.0,6768.13,0.0,6768.13,0.0,6768.13,6768.13,6768.13
1 0800.230.01.335.10 2024,,PERTSONAL.DIETAK/GARRAIOA/LEKUALDAKETA,100.0,100.0,51.08,48.92,51.08,51.08,51.08,51.08
1 0800.230.01.335.20 2024,,PERTSONAL.DIETAK/GARRAIOA/LEKUALDAKETA,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0
1 0800.480.01.335.10 2024,,FAMILIEI,11000.0,11000.0,0.0,10000.0,0.0,0.0,0.0,0.0
1 0800.481.01.335.10 2024,,IRABAZIZKO XEDERIK GABEKO ERAKUNDEEI,4155.0,4155.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0800.481.01.335.10 2023,,IRABAZIZKO XEDERIK GABEKO ERAKUNDEEI,0.0,1662.0,0.0,1662.0,0.0,1107.6,1107.6,1107.6
1 0800.481.02.335.10 2024,,ENTIT.TRANSF.LANKIDETZ.HITZARM.,244999.0,244999.0,0.0,810.0,0.0,0.0,0.0,0.0
1 0800.481.02.335.10 2023,,ENTIT.TRANSF.LANKIDETZ.HITZARM.,0.0,86379.6,0.0,86379.6,0.0,86379.6,86379.6,86379.6
1 0800.771.04.335.10 2024,,ENPRESEI.MERKATARITZA ESTABLEZIMENDU,4250.0,4250.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0900.120.01.342.11 2024,,ONARRIZKO ORDAINKETAK,0.0,0.0,2889.6,-2889.6,2889.6,2889.6,2889.6,2889.6
1 0900.121.99.342.11 2024,,BESTE OSAGARRI BATZUK,0.0,0.0,5083.69,-5083.69,5083.69,5083.69,5083.69,5083.69
1 0900.130.03.342.11 2024,,ORDAINKETAK PERTSONA LABORAL FINKOARI,401068.88,401068.88,59241.46,341827.42,59241.46,59241.46,59241.46,59241.46
1 0900.130.03.342.12 2024,,ORDAINKETAK PERTSONA LABORAL FINKOARI,115068.47,115068.47,9578.04,105490.43,9578.04,9578.04,9578.04,9578.04
1 0900.130.03.342.14 2024,,ORDAINKETAK PERTSONAL LABORAL FINKOARI,69052.46,69052.46,0.0,69052.46,0.0,0.0,0.0,0.0
1 0900.131.01.342.11 2024,,LABORAL EBENTUALA,229710.7,229710.7,88722.78,140987.92,88722.78,88722.78,88722.78,88722.78
1 0900.131.01.342.12 2024,,ORDAINKETAK PERTSONA LABORAL EBENTUALA,75191.21,75191.21,46398.8,28792.41,46398.8,46398.8,46398.8,46398.8
1 0900.160.01.342.11 2024,,GIZARTE SEGURANTZA,180900.05,180900.05,36480.75,144419.3,36480.75,36480.75,36480.75,36480.75
1 0900.160.01.342.12 2024,,GIZARTE SEGURANTZA,68652.36,68652.36,15224.41,53427.95,15224.41,15224.41,15224.41,15224.41
1 0900.160.01.342.14 2024,,BESTELAKO INBERTSIOAK,29931.27,29931.27,0.0,29931.27,0.0,0.0,0.0,0.0
1 0900.160.04.342.11 2024,,ELKARKIDETZA,10899.19,10899.19,3010.36,7888.83,3010.36,3010.36,3010.36,3010.36
1 0900.160.04.342.12 2024,,ELKARKIDETZA,2182.48,2182.48,620.56,1561.92,620.56,620.56,620.56,620.56
1 0900.211.01.342.11 2024,,ERAIKINAK ETA BESTELAKO ERAIKUNTZAK,105436.0,105436.0,-263.84,105699.84,-263.84,5292.36,12431.9,12431.9
1 0900.211.01.342.12 2024,,ERAIKINAK ETA BESTELAKO ERAIKUNTZAK,33725.0,33725.0,-3380.21,37105.21,-3380.21,3560.3,2716.2,2716.2
1 0900.211.01.342.12 2023,,ERAIKINAK ETA BESTELAKO ERAIKUNTZAK,0.0,1000.0,0.0,1000.0,0.0,72.6,72.6,72.6
1 0900.211.01.342.13 2024,,ERAIKINAK ETA BESTELAKO ERAIKUNTZAK,38222.49,38222.49,1566.54,36655.95,1566.54,701.8,701.8,701.8
1 0900.211.01.342.14 2024,,ERAIKINAK ETA BESTELAKO ERAIKUNTZAK,10000.0,10000.0,11543.38,-1543.38,11543.38,0.0,0.0,0.0
1 0900.212.01.342.11 2024,,"MAKINARIA,INSTALAZIOAK ETA TRESNERIA",140493.13,140493.13,13127.73,127365.4,13127.73,9451.86,7891.24,7891.24
1 0900.212.01.342.11 2023,,"MAKINARIA,INSTALAZIOAK ETA TRESNERIA",0.0,8188.72,0.0,8188.72,0.0,2420.89,1505.1,1868.32
1 0900.212.01.342.12 2024,,"MAKINARIA,INSTALAZIOAK ETA TRESNERIA",57500.0,57500.0,8208.41,49291.59,8208.41,16006.24,16006.24,16006.24
1 0900.212.01.342.12 2023,,"MAKINARIA,INSTALAZIOAK ETA TRESNERIA",0.0,3608.32,0.0,3608.32,0.0,1602.69,526.35,711.26
1 0900.212.01.342.13 2024,,"MAKINARIA,INSTALAZIOAK ETA TRESNERIA",51222.57,51222.57,5359.36,45863.21,5359.36,1768.47,1819.6,1819.6
1 0900.212.01.342.13 2023,,"MAKINARIA,INSTALAZIOAK ETA TRESNERIA",0.0,4149.26,0.0,4149.26,0.0,2135.16,1725.31,1945.98
1 0900.212.01.342.14 2024,,"MAKINARIA,INSTALAZIOAK ETA TRESNERIA",115000.0,115000.0,19201.63,95798.37,19201.63,39057.06,39409.06,44511.27
1 0900.212.01.342.14 2023,,"MAKINARIA,INSTALAZIOAK ETA TRESNERIA",0.0,8296.95,0.0,8296.95,0.0,6545.94,1069.64,1254.55
1 0900.213.01.342.12 2024,,GARRAIO MATERIALA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0900.213.02.342.11 2024,,BIZIKLETAREN RENTING,15000.0,15000.0,0.0,15000.0,0.0,0.0,0.0,0.0
1 0900.213.02.342.12 2024,,BIZIKLETAREN RENTING,6000.0,6000.0,0.0,6000.0,0.0,0.0,0.0,0.0
1 0900.215.01.342.11 2024,,INFORMAZIO-PROZEZUETARAKO EKIPOAK,16250.0,16250.0,1147.23,15102.77,1147.23,1567.1,2051.1,2051.1
1 0900.215.01.342.12 2024,,INFORMAZIO-PROZEZUETARAKO APLIKAZIOA,1600.0,1600.0,0.0,1600.0,0.0,0.0,0.0,0.0
1 0900.215.01.342.14 2024,,INFORMAZIO-PROZEZUETARAKO APLIKAZIOA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0900.220.01.342.11 2024,,MATERIAL ARRUNT EZ INBENTARIAGARRIAK,4000.0,4000.0,124.67,3875.33,124.67,928.84,928.84,928.84
1 0900.221.01.342.11 2024,,ENERGIA ELEKTRIKOA,185000.0,185000.0,0.0,185000.0,0.0,44274.66,39783.44,44274.66
1 0900.221.01.342.12 2024,,ENERGIA ELEKTRIKOA,60000.0,60000.0,0.0,60000.0,0.0,11997.87,9971.62,11997.87
1 0900.221.01.342.13 2024,,ENERGIA ELEKTRIKOA,24430.0,24430.0,0.0,24430.0,0.0,6636.06,5557.91,6636.06
1 0900.221.01.342.14 2024,,ENERGIA ELEKTRIKOA,122000.0,122000.0,0.0,122000.0,0.0,33758.31,31991.75,33758.31
1 0900.221.04.342.11 2024,,ERREGAI ETA KARBURANTEAK,230000.0,230000.0,0.0,230000.0,0.0,36430.22,36430.22,36430.22
1 0900.221.04.342.12 2024,,ERREGAI ETA KARBURANTEAK,63000.0,63000.0,-63000.0,126000.0,-63000.0,5927.5,5927.5,5927.5
1 0900.221.04.342.13 2024,,ERREGAI ETA KARBURANTEAK,6000.0,6000.0,0.0,6000.0,0.0,450.67,450.67,450.67
1 0900.221.04.342.13 2023,,ERREGAI ETA KARBURANTEAK,0.0,3636.22,0.0,3636.22,0.0,201.71,0.0,0.0
1 0900.221.04.342.14 2024,,ERREGAI ETA KARBURANTEAK,108000.0,108000.0,0.0,108000.0,0.0,20528.64,20528.64,20528.64
1 0900.221.04.342.14 2023,,ERREGAI ETA KARBURANTEAK,0.0,44881.93,0.0,44881.93,0.0,4720.06,0.0,0.0
1 0900.221.05.342.11 2024,,ARROPAK,1000.0,1000.0,0.0,1000.0,0.0,0.0,0.0,0.0
1 0900.221.05.342.12 2024,,ARROPAK,2000.0,2000.0,292.32,1707.68,292.32,0.0,0.0,0.0
1 0900.221.05.342.14 2024,,ARROPAK,1500.0,1500.0,0.0,1500.0,0.0,0.0,0.0,0.0
1 0900.221.08.342.11 2024,,FRAMAZI PRODUKTOAK ETA HEMODERIBATUAK,4000.0,4000.0,1523.14,2476.86,1523.14,900.0,900.0,900.0
1 0900.221.09.342.11 2024,,GARBIKETAK ETA TXUKUNETA PRODUKTUAK,1000.0,1000.0,0.0,1000.0,0.0,0.0,0.0,0.0
1 0900.221.09.342.12 2024,,GARBIKETAK ETA TXUKUNETA PRODUKTUAK,8000.0,8000.0,0.0,8000.0,0.0,0.0,0.0,0.0
1 0900.221.11.342.11 2024,,TRESNAK ETA ERRAMINTAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0900.221.11.342.12 2024,,TRESNAK ETA ERRAMINTAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0900.221.12.342.11 2024,,OSASUN MATERIALA,500.0,500.0,0.0,500.0,0.0,0.0,0.0,0.0
1 0900.221.90.342.11 2024,,ZERBITZU OSAGAI BEREZIAK,72500.0,72500.0,18860.32,53639.68,18860.32,7800.87,7800.87,7800.87
1 0900.221.90.342.11 2023,,ZERBITZU OSAGAI BEREZIAK,0.0,559.02,0.0,559.02,0.0,319.44,0.0,0.0
1 0900.221.90.342.12 2024,,ZERBITZUAREN OSAGAI BEREZIAK,15000.0,15000.0,882.33,14117.67,882.33,0.0,0.0,0.0
1 0900.221.90.342.14 2024,,ZERBITZU OSAGAI BEREZIAK,25000.0,25000.0,-6820.0,31820.0,-6820.0,4494.32,6180.79,6180.79
1 0900.221.99.341.00 2024,,BESTELAKO HORNIDURAK (GARAIKURRAK),6500.0,6500.0,1115.91,5384.09,1115.91,838.22,838.22,838.22
1 0900.221.99.341.00 2023,,BESTELAKO HORNIDURAK (GARAIKURRAK),0.0,3187.22,0.0,3187.22,0.0,3187.22,3187.22,3187.22
1 0900.221.99.342.11 2024,,BESTELAKO HORNIDURAK,25000.0,25000.0,557.81,24442.19,557.81,557.81,557.81,557.81
1 0900.221.99.342.14 2024,,BESTELAKO HORNIDURAK,12000.0,12000.0,7796.03,4203.97,7796.03,0.0,0.0,0.0
1 0900.222.01.342.11 2024,,TELEFONO BIDEZKOA,8000.0,8000.0,0.0,8000.0,0.0,3728.67,4495.14,4495.14
1 0900.222.01.342.12 2024,,TELEFONIKA,1000.0,1000.0,0.0,1000.0,0.0,0.0,0.0,0.0
1 0900.222.01.342.14 2024,,TELEFONO BIDEZKOA,2500.0,2500.0,0.0,2500.0,0.0,0.0,0.0,0.0
1 0900.222.02.342.11 2024,,POSTA BIDEZKOA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0900.224.02.342.12 2024,,IBILGAILUENAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0900.226.02.342.11 2024,,PROTOKOLO ETA ORDEZKARITZA GASTUAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0900.226.03.342.11 2024,,"ARGITALPENAK,PUBLIZATATEA ETA PROPAGANDA",1000.0,1000.0,0.0,1000.0,0.0,0.0,564.95,564.95
1 0900.226.03.342.11 2023,,"ARGITALPENAK,PUBLIZATATEA ETA PROPAGANDA",0.0,489.14,0.0,489.14,0.0,489.14,0.0,0.0
